Time,Shank,Thigh,Wrist
4182,-0.901479778267924,-2.0153659705956524,1.5732314161101122
4183,-0.8745325432679241,-2.1797313695956526,1.447155112110112
4184,-0.878203357267924,-2.3942914075956523,1.299794003110112
4185,-0.9166352212679241,-2.3918420055956524,1.1468009501101122
4186,-1.006211793267924,-2.0106251935956525,1.0011554731101122
4187,-1.132523715267924,-1.3899304645956527,0.854582340110112
4188,-1.263295306267924,-0.6672366615956526,0.6778975271101122
4189,-1.372839080267924,0.09930932840434742,0.4397540531101121
4190,-1.4126443142679241,0.7386311754043473,0.1218710881101121
4191,-1.4065373802679242,1.0480643524043474,-0.2609701698898879
4192,-1.391612199267924,0.9809003904043474,-0.643247997889888
4193,-1.368664972267924,0.7118132944043474,-0.9449193838898879
4194,-1.3646541642679242,-0.6195519765956525,-1.157702614889888
4195,-1.373616703267924,-3.1936824165956526,-1.344919913889888
4196,-1.403562107267924,-2.2823433475956527,-1.5534880288898878
4197,-1.463363488267924,0.0960565054043474,-1.809009428889888
4198,-1.534462437267924,0.6840642414043474,-2.127976230889888
4199,-1.592657595267924,0.13802862840434743,-2.5129698378898877
4200,-1.625943322267924,-0.7378771935956525,-2.908968600889888
4201,-1.636438211267924,-1.5592662955956527,-3.2439454188898877
4202,-1.639868825267924,-2.2698689005956525,-3.471576444889888
4203,-1.6607203582679242,-3.0675674085956524,-3.6003873878898878
4204,-1.587405182267924,-3.3628602215956525,-3.6751096398898877
4205,-1.551537746267924,-2.8422054885956523,-3.7512929208898877
4206,-1.654884728267924,-2.5185654875956525,-3.8457752998898878
4207,-1.8123992112679241,-2.6104213655956525,-3.964522297889888
4208,-1.9228260202679242,-2.8307707635956523,-4.119164974889888
4209,-1.953160235267924,-3.1045978985956526,-4.2659844608898885
4210,-1.959814529267924,-3.3620641845956523,-4.353969713889888
4211,-2.066446537267924,-3.4552632835956523,-4.383179669889888
4212,-2.125940757267924,-3.3588556675956522,-4.345519442889888
4213,-1.821918641267924,-2.7733579215956525,-3.716961281889888
4214,-2.0220652039783706,-4.210394919112705,-3.714292678275179
4215,-1.9841578029783706,-4.116269080112705,-3.737871281275179
4216,-1.8644608619783707,-3.8464154841127045,-3.720078444275179
4217,-1.7169548209783705,-3.5527287751127044,-3.672991373275179
4218,-1.5627953499783707,-3.3265523571127047,-3.603861576275179
4219,-1.5099359829783707,-3.1537104191127043,-3.509934965275179
4220,-1.6060588459783705,-2.9853862491127043,-3.393494729275179
4221,-1.6030187719783706,-2.8077341211127047,-3.259261656275179
4222,-1.2710082439783705,-2.6590649771127044,-3.109445854275179
4223,-0.8374803079783706,-2.5825324421127043,-2.943554616275179
4224,-0.6991117709783705,-2.5424846911127044,-2.759791566275179
4225,-0.9051106259783706,-2.4946693021127047,-2.559853479275179
4226,-1.1595783009783704,-2.4209790181127047,-2.358209188275179
4227,-1.3058915539783706,-2.3311759991127046,-2.145420653275179
4228,-1.3176561289783706,-2.2377140161127045,-1.923852394275179
4229,-1.1469315559783706,-2.1657959851127044,-1.6888555222751789
4230,-0.6998954429783706,-2.1093076331127047,-1.438064341275179
4231,0.020303702021629455,-2.082158930112705,-1.179617348275179
4232,0.6986261120216294,-2.0800573341127047,-0.917973066275179
4233,1.0937485360216295,-2.0926314691127046,-0.642811769275179
4234,1.2961997010216293,-2.0935279341127044,-0.378243663275179
4235,1.5602520130216293,-2.0702538201127045,-0.10083453927517899
4236,1.9959145240216296,-2.0331561321127047,0.21248087072482097
4237,2.4771094630216295,-1.9427128871127044,0.5872726227248211
4238,2.8527999480216297,-1.8802793641127047,1.024387631724821
4239,3.0460730000216296,-1.8654389591127045,1.475750464724821
4240,3.1357329500216293,-1.9029043901127047,1.8621414497248212
4241,3.2318143390216294,-2.0171888701127045,2.126604648724821
4242,3.3392965490216295,-2.0224133241127045,2.246346490724821
4243,3.4182140670216294,-1.7743473651127046,2.241006282724821
4244,3.4189744090216294,-1.4270278471127047,2.203475714724821
4245,3.3321272950216296,-1.1046897131127045,2.217791315724821
4246,3.2328230900216295,-0.8889297131127046,2.309839040724821
4247,3.1658213500216297,-0.7665512051127046,2.445536677724821
4248,3.0953116660216295,-0.3501603371127046,2.563958348724821
4249,3.0076882250216297,0.3621347698872954,2.624419810724821
4250,2.8497274720216295,1.2305114698872952,2.617152977724821
4251,2.6326012620216295,2.1321481918872953,2.560505277724821
4252,2.2872955380216293,2.8985302488872957,2.487707291724821
4253,1.8996650810216296,3.4573977128872957,2.428019662724821
4254,1.4380053320216293,3.6748886138872954,2.393427653724821
4255,0.7582693760216294,3.5207092398872954,2.382309930724821
4256,0.23672659602162943,3.1951168058872956,2.384997420724821
4257,-0.3679838459783706,2.9642431788872954,2.395101441724821
4258,-1.0192587939783706,2.8619280528872957,2.4064554987248212
4259,-1.6809452519783705,2.8241702008872953,2.409869083724821
4260,-2.2494672719783706,2.8283394258872954,2.412849486724821
4261,-2.3840915529783704,2.8859679278872954,2.413562614724821
4262,-1.7873003399783705,2.9980260148872957,2.392445776724821
4263,-2.4795128269783704,3.0944786748872954,2.334285183724821
4264,-3.9315495439783703,3.0636318718872957,2.239482781724821
4265,-3.8818494879783705,2.9087051968872957,2.122541587724821
4266,-3.3011023679783706,2.6890853768872955,2.001760700724821
4267,-3.3738135889783702,2.4247442258872955,1.8989288317248212
4268,-3.1771237479783703,2.1380291188872955,1.824458236724821
4269,-2.6051162479783705,1.8870788168872954,1.771422735724821
4270,-2.0722957719783706,1.6790812848872956,1.727412722724821
4271,-1.7175743269783705,1.5144212488872952,1.6728195387248213
4272,-1.4607439739783707,1.3729400678872956,1.587980888724821
4273,-1.1264040329783707,1.2372711388872952,1.492065770724821
4274,-0.8485117569783706,1.1007655588872955,1.430206342724821
4275,-0.7254632599783706,0.9304712338872955,1.4158819007248211
4276,-0.8066531659783706,0.6812747248872955,1.442463302724821
4277,-1.0210136299783705,0.3583185178872954,1.495249503724821
4278,-1.1693901769783706,0.014967369887295412,1.5398924917248211
4279,-1.2292758009783706,-0.29678745811270457,1.554309462724821
4280,-1.2449872449783705,-0.5448600641127046,1.5399761807248211
4281,-1.1712806649783705,-0.7403779801127046,1.498426164724821
4282,-1.0042074659783706,-0.9425588301127046,1.4201258967248211
4283,-0.8275137709783705,-1.1872095101127047,1.297151404724821
4284,-0.7171379399783706,-1.4402665781127046,1.1392967057248211
